tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-37.0555932982,-25.611366181,0.0,0.01,0.01,0.0
blue,-36.4555214643,-28.5260008026,0.0,0.01,0.01,0.0
blue,-36.4555214643,-22.6967315594,0.0,0.01,0.01,0.0
blue,-34.8267550581,-31.0120126858,0.0,0.01,0.01,0.0
blue,-34.8267550581,-20.2535819501,0.0,0.01,0.01,0.0
blue,-32.340743175,-32.6407790919,0.0,0.01,0.01,0.0
blue,-32.340743175,-18.5819532701,0.0,0.01,0.01,0.0
blue,-29.4261085534,-33.2408509258,0.0,0.01,0.01,0.0
blue,-29.4261085534,-18.0247437101,0.0,0.01,0.01,0.0
blue,-26.5114739318,-32.6407790919,0.0,0.01,0.01,0.0
blue,-26.5114739318,-18.5819532701,0.0,0.01,0.01,0.0
blue,-24.0683243225,-31.0120126858,0.0,0.01,0.01,0.0
blue,-24.0683243225,-20.2535819501,0.0,0.01,0.01,0.0
blue,-22.3966956425,-28.5260008026,0.0,0.01,0.01,0.0
blue,-22.3966956425,-22.6967315594,0.0,0.01,0.01,0.0
blue,-21.7966238086,-25.611366181,0.0,0.01,0.01,0.0
blue,-18.4105041747,-33.1551263781,0.0,0.01,0.01,0.0
blue,-18.4105041747,-18.1104682578,0.0,0.01,0.01,0.0
blue,-14.981522267,-35.426826892,0.0,0.01,0.01,0.0
blue,-14.981522267,-15.8387677439,0.0,0.01,0.01,0.0
blue,-10.9096062515,-36.2412100951,0.0,0.01,0.01,0.0
blue,-10.9096062515,-15.0243845408,0.0,0.01,0.01,0.0
blue,-6.88055250987,-35.426826892,0.0,0.01,0.01,0.0
blue,-6.88055250987,-15.8387677439,0.0,0.01,0.01,0.0
blue,-3.4515706021,-33.1551263781,0.0,0.01,0.01,0.0
blue,-3.4515706021,-18.1104682578,0.0,0.01,0.01,0.0
blue,-1.09414554051,-29.6832821965,0.0,0.01,0.01,0.0
blue,-1.09414554051,-21.5394501656,0.0,0.01,0.01,0.0
blue,-0.279762337419,-25.611366181,0.0,0.01,0.01,0.0
yellow,-40.0130901936,-25.611366181,0.0,0.01,0.01,0.0
yellow,-39.1987069905,-29.6832821965,0.0,0.01,0.01,0.0
yellow,-39.1987069905,-21.5394501656,0.0,0.01,0.01,0.0
yellow,-36.9270064766,-33.1551263781,0.0,0.01,0.01,0.0
yellow,-36.9270064766,-18.1104682578,0.0,0.01,0.01,0.0
yellow,-33.4980245689,-35.426826892,0.0,0.01,0.01,0.0
yellow,-33.4980245689,-15.8387677439,0.0,0.01,0.01,0.0
yellow,-29.4261085534,-36.2412100951,0.0,0.01,0.01,0.0
yellow,-29.4261085534,-15.0243845408,0.0,0.01,0.01,0.0
yellow,-25.3541925379,-35.426826892,0.0,0.01,0.01,0.0
yellow,-25.3541925379,-15.8387677439,0.0,0.01,0.01,0.0
yellow,-21.9252106302,-33.1551263781,0.0,0.01,0.01,0.0
yellow,-21.9252106302,-18.1104682578,0.0,0.01,0.01,0.0
yellow,-18.5390909963,-25.611366181,0.0,0.01,0.01,0.0
yellow,-17.9390191624,-28.5260008026,0.0,0.01,0.01,0.0
yellow,-17.9390191624,-22.6967315594,0.0,0.01,0.01,0.0
yellow,-16.3102527562,-31.0120126858,0.0,0.01,0.01,0.0
yellow,-16.3102527562,-20.2535819501,0.0,0.01,0.01,0.0
yellow,-13.8671031469,-32.6407790919,0.0,0.01,0.01,0.0
yellow,-13.8671031469,-18.5819532701,0.0,0.01,0.01,0.0
yellow,-10.9096062515,-33.2408509258,0.0,0.01,0.01,0.0
