tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-35.9609076773,-22.9246076633,0,0.01,0.01,0.0
blue,-35.9609076773,-18.9134384282,0,0.01,0.01,0.0
blue,-34.6238512656,-15.2365332961,0,0.01,0.01,0.0
blue,-34.2895871627,-26.6015127954,0,0.01,0.01,0.0
blue,-32.618266648,-11.5596281639,0,0.01,0.01,0.0
blue,-32.2840025451,-30.2784179276,0,0.01,0.01,0.0
blue,-29.6098897217,-8.55125123764,0,0.01,0.01,0.0
blue,-29.2756256188,-32.952530751,0,0.01,0.01,0.0
blue,-26.2672486925,-6.54566662011,0,0.01,0.01,0.0
blue,-25.9329845896,-34.6238512656,0,0.01,0.01,0.0
blue,-22.5903435604,-5.54287431134,0,0.01,0.01,0.0
blue,-22.2560794575,-35.9609076773,0,0.01,0.01,0.0
blue,-18.5791743253,-4.8743461055,0,0.01,0.01,0.0
blue,-18.2449102224,-35.9609076773,0,0.01,0.01,0.0
blue,-14.2337409873,-3.87155379673,0,0.01,0.01,0.0
blue,-13.8994768844,-35.6266435743,0,0.01,0.01,0.0
blue,-10.8910999581,-1.86596917919,0,0.01,0.01,0.0
blue,-9.88830764933,-35.6266435743,0,0.01,0.01,0.0
blue,-7.8827230318,1.47667185003,0,0.01,0.01,0.0
blue,-7.54845892887,36.9086667598,0,0.01,0.01,0.0
blue,-7.21419482595,32.8974975247,0,0.01,0.01,0.0
blue,-6.87993072303,28.8863282897,0,0.01,0.01,0.0
blue,-6.87993072303,40.5855718919,0,0.01,0.01,0.0
blue,-6.54566662011,24.8751590546,0,0.01,0.01,0.0
blue,-6.21140251718,4.81931287925,0,0.01,0.01,0.0
blue,-6.21140251718,20.8639898195,0,0.01,0.01,0.0
blue,-5.87713841426,-35.6266435743,0,0.01,0.01,0.0
blue,-5.87713841426,16.8528205845,0,0.01,0.01,0.0
blue,-5.54287431134,9.16474621724,0,0.01,0.01,0.0
blue,-5.54287431134,13.1759154523,0,0.01,0.01,0.0
blue,-4.20581789965,43.9282129212,0,0.01,0.01,0.0
blue,-1.86596917919,-35.2923794714,0,0.01,0.01,0.0
