tag,x,y,direction
blue,-45.0,216.0,0
blue,-43.0,219.0,0
blue,-42.0,209.0,0
blue,-39.0,207.0,0
blue,-35.0,226.0,0
blue,-31.0,-24.0,0
blue,-31.0,225.0,0
blue,-30.0,-20.0,0
blue,-29.0,-32.0,0
blue,-29.0,206.0,0
blue,-28.0,-17.0,0
blue,-28.0,206.0,0
blue,-28.0,223.0,0
blue,-26.0,-14.0,0
blue,-23.0,-12.0,0
blue,-23.0,206.0,0
blue,-22.0,-40.0,0
blue,-22.0,219.0,0
blue,-20.0,163.0,0
blue,-20.0,216.0,0
blue,-19.0,-42.0,0
blue,-19.0,122.0,0
blue,-19.0,167.0,0
blue,-18.0,170.0,0
blue,-18.0,217.0,0
blue,-16.0,-44.0,0
blue,-15.0,-5.0,0
blue,-13.0,114.0,0
blue,-13.0,218.0,0
blue,-12.0,-45.0,0
blue,-12.0,-3.0,0
blue,-11.0,9.0,0
blue,-11.0,111.0,0
blue,-8.0,109.0,0
blue,-8.0,219.0,0
blue,-7.0,-45.0,0
blue,-6.0,29.0,0
blue,-4.0,108.0,0
blue,-3.0,220.0,0
blue,-2.0,-44.0,0
blue,-1.0,49.0,0
blue,0.0,109.0,0
blue,1.0,165.0,0
blue,2.0,155.0,0
blue,2.0,169.0,0
blue,2.0,221.0,0
blue,3.0,111.0,0
blue,4.0,68.0,0
blue,5.0,83.0,0
blue,5.0,88.0,0
blue,6.0,-41.0,0
blue,6.0,71.0,0
blue,6.0,79.0,0
blue,6.0,170.0,0
blue,7.0,75.0,0
blue,7.0,134.0,0
blue,7.0,222.0,0
blue,8.0,-41.0,0
blue,10.0,115.0,0
blue,10.0,119.0,0
blue,10.0,169.0,0
blue,11.0,123.0,0
blue,11.0,165.0,0
blue,12.0,223.0,0
blue,13.0,-40.0,0
blue,13.0,167.0,0
blue,17.0,224.0,0
blue,21.0,-37.0,0
blue,22.0,225.0,0
blue,23.0,-37.0,0
blue,31.0,-34.0,0
blue,31.0,229.0,0
blue,33.0,-34.0,0
blue,35.0,-33.0,0
blue,36.0,230.0,0
blue,37.0,-33.0,0
blue,41.0,231.0,0
blue,42.0,-32.0,0
blue,46.0,232.0,0
blue,47.0,-32.0,0
blue,51.0,233.0,0
blue,52.0,-32.0,0
blue,56.0,234.0,0
blue,57.0,-32.0,0
blue,62.0,-32.0,0
blue,64.0,234.0,0
blue,67.0,-32.0,0
blue,67.0,232.0,0
blue,70.0,230.0,0
blue,72.0,-32.0,0
blue,74.0,229.0,0
blue,75.0,227.0,0
blue,77.0,-32.0,0
blue,82.0,-32.0,0
blue,84.0,230.0,0
blue,87.0,-32.0,0
blue,89.0,231.0,0
blue,92.0,-32.0,0
blue,94.0,231.0,0
blue,97.0,-32.0,0
blue,99.0,232.0,0
blue,102.0,-32.0,0
blue,104.0,232.0,0
blue,107.0,-32.0,0
blue,109.0,233.0,0
blue,112.0,-32.0,0
blue,114.0,234.0,0
blue,117.0,-32.0,0
blue,118.0,233.0,0
blue,121.0,231.0,0
blue,122.0,-33.0,0
blue,124.0,229.0,0
blue,127.0,-33.0,0
blue,128.0,228.0,0
blue,131.0,-32.0,0
blue,133.0,228.0,0
blue,134.0,-30.0,0
blue,137.0,-28.0,0
blue,138.0,229.0,0
blue,142.0,-28.0,0
blue,143.0,229.0,0
blue,145.0,-30.0,0
blue,148.0,229.0,0
blue,151.0,-34.0,0
blue,153.0,230.0,0
blue,156.0,-34.0,0
blue,158.0,230.0,0
blue,160.0,191.0,0
blue,160.0,192.0,0
blue,161.0,-34.0,0
blue,162.0,183.0,0
blue,162.0,195.0,0
blue,163.0,184.0,0
blue,163.0,230.0,0
blue,166.0,-34.0,0
blue,168.0,183.0,0
blue,168.0,194.0,0
blue,168.0,230.0,0
blue,171.0,-34.0,0
blue,173.0,182.0,0
blue,173.0,193.0,0
blue,176.0,-34.0,0
blue,176.0,228.0,0
blue,178.0,181.0,0
blue,178.0,193.0,0
blue,178.0,229.0,0
blue,181.0,-35.0,0
blue,183.0,193.0,0
blue,183.0,228.0,0
blue,186.0,-35.0,0
blue,186.0,179.0,0
blue,188.0,192.0,0
blue,188.0,227.0,0
blue,191.0,-35.0,0
blue,191.0,178.0,0
blue,193.0,179.0,0
blue,193.0,192.0,0
blue,193.0,226.0,0
blue,195.0,-34.0,0
blue,198.0,-32.0,0
blue,198.0,178.0,0
blue,198.0,192.0,0
blue,198.0,225.0,0
blue,199.0,192.0,0
blue,203.0,177.0,0
blue,203.0,224.0,0
blue,205.0,-24.0,0
blue,208.0,191.0,0
blue,209.0,-17.0,0
blue,209.0,173.0,0
blue,211.0,170.0,0
blue,211.0,222.0,0
blue,212.0,171.0,0
blue,213.0,191.0,0
