tag,x,y,direction
blue,-40.0000002376,-24.0000006178,0
blue,-40.0000002376,-20.0000007128,0
blue,-40.0000002376,-16.0000008079,0
blue,-39.0000002614,-12.0000009029,0
blue,-32.0000004277,-3.00000111677,0
blue,-29.000000499,-1.18805301241e-06,0
blue,-25.000000594,1.99999876442,0
blue,-23.0000006415,3.9999987169,0
blue,-19.0000007366,8.9999985981,0
blue,-16.0000008079,12.9999985031,0
blue,-13.0000008792,15.9999984318,0
blue,-10.0000009504,19.9999983367,0
blue,-7.00000102173,22.9999982654,0
blue,-4.00000109301,26.9999981704,0
blue,-1.00000116429,29.9999980991,0
blue,-1.18805301241e-06,33.9999980041,0
blue,1.99999876442,33.9999980041,0
blue,3.9999987169,32.9999980278,0
blue,-4.00000109301,35.9999979565,0
blue,-11.0000009267,44.9999977427,0
blue,-12.0000009029,48.9999976477,0
blue,-12.0000009029,52.9999975526,0
blue,-11.0000009267,56.9999974576,0
blue,-3.00000111677,64.9999972675,0
blue,-1.18805301241e-06,67.9999971962,0
blue,3.9999987169,68.9999971724,0
blue,7.99999862186,68.9999971724,0
blue,11.9999985268,67.9999971962,0
blue,17.9999983842,61.9999973388,0
blue,19.9999983367,59.9999973863,0
blue,23.9999982417,52.9999975526,0
blue,23.9999982417,48.9999976477,0
blue,22.9999982654,44.9999977427,0
blue,19.9999983367,40.9999978377,0
blue,23.9999982417,39.9999978615,0
blue,27.9999981466,39.9999978615,0
blue,31.9999980516,38.9999978853,0
blue,35.9999979565,38.9999978853,0
blue,39.9999978615,37.999997909,0
blue,43.9999977665,37.999997909,0
blue,47.9999976714,36.9999979328,0
blue,51.9999975764,36.9999979328,0
blue,55.9999974813,35.9999979565,0
blue,59.9999973863,35.9999979565,0
blue,63.9999972912,34.9999979803,0
blue,67.9999971962,34.9999979803,0
blue,74.9999970299,30.9999980754,0
blue,76.9999969823,28.9999981229,0
blue,82.9999968398,22.9999982654,0
blue,83.999996816,18.9999983605,0
blue,82.9999968398,14.9999984555,0
blue,80.9999968873,8.9999985981,0
blue,78.9999969348,1.99999876442,0
blue,76.9999969823,-4.00000109301,0
blue,74.9999970299,-11.0000009267,0
blue,73.9999970536,-15.0000008316,0
blue,71.9999971012,-19.0000007366,0
blue,63.9999972912,-27.0000005465,0
blue,59.9999973863,-28.0000005227,0
blue,55.9999974813,-27.0000005465,0
blue,51.9999975764,-27.0000005465,0
blue,47.9999976714,-26.0000005703,0
blue,39.9999978615,-25.000000594,0
blue,35.9999979565,-24.0000006178,0
blue,31.9999980516,-24.0000006178,0
blue,27.9999981466,-25.000000594,0
blue,23.9999982417,-26.0000005703,0
blue,22.9999982654,-26.0000005703,0
blue,16.999998408,-29.000000499,0
blue,12.9999985031,-30.0000004752,0
blue,8.9999985981,-32.0000004277,0
blue,4.99999869314,-33.0000004039,0
blue,3.9999987169,-33.0000004039,0
blue,-3.00000111677,-36.0000003327,0
blue,-4.00000109301,-36.0000003327,0
blue,-11.0000009267,-39.0000002614,0
blue,-15.0000008316,-40.0000002376,0
blue,-19.0000007366,-40.0000002376,0
blue,-23.0000006415,-40.0000002376,0
blue,-30.0000004752,-36.0000003327,0
blue,-32.0000004277,-34.0000003802,0
blue,-38.0000002851,-28.0000005227,0
blue,-40.0000002376,-24.0000006178,0
yellow,-30.0000004752,-26.0000005703,0
yellow,-30.0000004752,-24.0000006178,0
yellow,-30.0000004752,-20.0000007128,0
yellow,-30.0000004752,-16.0000008079,0
yellow,-29.000000499,-12.0000009029,0
yellow,-29.000000499,-10.0000009504,0
yellow,-25.000000594,-8.00000099796,0
yellow,-16.0000008079,-1.00000116429,0
yellow,-14.0000008554,-1.00000116429,0
yellow,-12.0000009029,1.99999876442,0
yellow,-9.0000009742,5.99999866938,0
yellow,-6.00000104549,8.9999985981,0
yellow,-3.00000111677,12.9999985031,0
yellow,-1.18805301241e-06,15.9999984318,0
yellow,2.99999874066,19.9999983367,0
