tag,x,y,direction
blue,-45.0,30.0,0
blue,-45.0,34.0,0
blue,-45.0,38.0,0
blue,-44.0,42.0,0
blue,-42.0,46.0,0
blue,-39.0,49.0,0
blue,-31.0,57.0,0
blue,-27.0,58.0,0
blue,-23.0,59.0,0
blue,-19.0,59.0,0
blue,-15.0,58.0,0
blue,-6.0,52.0,0
blue,-5.0,52.0,0
blue,-1.0,49.0,0
blue,2.0,46.0,0
blue,6.0,43.0,0
blue,10.0,40.0,0
blue,13.0,37.0,0
blue,17.0,34.0,0
blue,20.0,31.0,0
blue,24.0,29.0,0
blue,25.0,29.0,0
blue,29.0,29.0,0
blue,33.0,30.0,0
blue,35.0,29.0,0
blue,37.0,33.0,0
blue,39.0,37.0,0
blue,41.0,41.0,0
blue,49.0,49.0,0
blue,53.0,51.0,0
blue,57.0,51.0,0
blue,61.0,51.0,0
blue,65.0,51.0,0
blue,69.0,50.0,0
blue,73.0,50.0,0
blue,77.0,50.0,0
blue,81.0,49.0,0
blue,85.0,48.0,0
blue,92.0,44.0,0
blue,94.0,42.0,0
blue,100.0,36.0,0
blue,101.0,32.0,0
blue,102.0,28.0,0
blue,102.0,24.0,0
blue,100.0,17.0,0
blue,98.0,12.0,0
blue,96.0,8.0,0
blue,94.0,3.0,0
blue,92.0,-2.0,0
blue,91.0,-4.0,0
blue,89.0,-10.0,0
blue,87.0,-15.0,0
blue,85.0,-20.0,0
blue,83.0,-24.0,0
blue,76.0,-33.0,0
blue,73.0,-36.0,0
blue,69.0,-37.0,0
blue,65.0,-38.0,0
blue,61.0,-38.0,0
blue,57.0,-38.0,0
blue,53.0,-37.0,0
blue,49.0,-37.0,0
blue,45.0,-37.0,0
blue,41.0,-37.0,0
blue,37.0,-37.0,0
blue,29.0,-36.0,0
blue,25.0,-36.0,0
blue,21.0,-36.0,0
blue,17.0,-37.0,0
blue,16.0,-37.0,0
blue,13.0,-39.0,0
blue,9.0,-40.0,0
blue,5.0,-41.0,0
blue,4.0,-41.0,0
blue,-3.0,-44.0,0
blue,-7.0,-45.0,0
blue,-11.0,-45.0,0
blue,-20.0,-39.0,0
blue,-21.0,-35.0,0
blue,-20.0,-31.0,0
blue,-12.0,-23.0,0
blue,-9.0,-24.0,0
blue,-8.0,-21.0,0
