tag,x,y,direction
blue,12472.5347057,27614.1616373,0
blue,12881.767866,24585.836251,0
blue,13454.6942904,20166.1181196,0
blue,15910.0932523,17383.3326294,0
blue,18119.952318,15337.1668279,0
blue,20984.5844402,13127.3077622,0
blue,24585.836251,12472.5347057,0
blue,29087.4010145,13782.0808187,0
blue,33179.7326176,16401.1730447,0
blue,38090.5305414,19020.2652707,0
blue,42673.941937,21311.9709685,0
blue,46684.426908,23358.1367701,0
blue,50285.6787188,25567.9958358,0
blue,54296.1636899,27450.4683732,0
blue,57979.2621328,29987.7139672,0
blue,60352.8144626,34080.0455703,0
blue,61498.6673115,36944.6776925,0
blue,62726.3667924,40709.6227674,0
blue,63381.1398489,45129.3408988,0
blue,62644.5201604,48812.4393417,0
blue,60843.894255,51267.8383036,0
blue,58388.4952931,53477.6973693,0
blue,55360.1699067,54869.0901144,0
blue,52086.3046242,55523.8631709,0
blue,48485.0528134,54050.6237937,0
blue,45293.034163,52659.2310487,0
blue,40709.6227674,51349.6849356,0
blue,36126.2113719,50858.6051433,0
blue,31215.4134481,50940.4517753,0
blue,27696.0082694,50531.218615,0
blue,20247.9647517,49794.5989264,0
blue,17219.6393653,48812.4393417,0
blue,15255.3201958,46111.5004836,0
blue,13863.9274507,41937.3222484,0
blue,13945.7740828,37926.8372773,0
blue,12963.614498,30888.0269199,0
blue,12472.5347057,27614.1616373,0
yellow,18529.1854783,26795.6953167,0
yellow,18692.8787425,30806.1802878,0
yellow,19183.9585348,34080.0455703,0
yellow,19511.3450631,37926.8372773,0
yellow,19511.3450631,41364.3958239,0
yellow,20984.5844402,43656.1015217,0
yellow,27614.1616373,44720.1077385,0
yellow,31297.2600802,44801.9543706,0
yellow,36289.904636,44638.2611065,0
yellow,40791.4693995,45047.4942668,0
yellow,45293.034163,46602.580276,0
yellow,49467.2123982,47666.5864928,0
yellow,52659.2310487,48976.1326058,0
yellow,55196.4766426,48321.3595493,0
yellow,57242.6424442,45538.5740592,0
yellow,57324.4890763,41773.6289843,0
yellow,56342.3294915,38499.7637017,0
yellow,55360.1699067,35962.5181078,0
yellow,51513.3781998,32279.4196649,0
yellow,48157.6662852,30478.7937595,0
yellow,45456.7274271,29087.4010145,0
yellow,42182.8621446,27614.1616373,0
yellow,38581.6103338,25731.6890999,0
yellow,33834.5056741,23276.290138,0
yellow,29824.020703,20820.8911761,0
yellow,26795.6953167,18856.5720066,0
yellow,24012.9098266,18119.952318,0
yellow,21148.2777044,19429.498431,0
yellow,18774.7253745,22785.2103456,0
yellow,18529.1854783,26795.6953167,0
big_orange,23767.3699304,44638.2611065,0
big_orange,23767.3699304,50449.3719829,0
big_orange,24258.4497227,44638.2611065,0
big_orange,24258.4497227,50449.3719829,0
midpoint,15500.860092,27204.928477,0
midpoint,15705.476672150002,25690.76578385,0
midpoint,16114.70983245,21475.6642326,0
midpoint,18529.18547835,18406.4155302,0
midpoint,19634.1150112,17383.33262945,0
midpoint,22498.7471334,15623.6300401,0
midpoint,24299.3730388,15296.24351185,0
midpoint,27941.548165599997,16319.32641265,0
midpoint,31501.876660299997,18611.032110400003,0
midpoint,35962.51810775,21148.277704350003,0
midpoint,40627.7761354,23521.8300342,0
midpoint,46070.57716755,26222.768892300002,0
midpoint,49221.672502,28023.39479765,0
midpoint,52904.770944849995,29864.944019050003,0
midpoint,56669.716019750005,32975.1160375,0
midpoint,57856.49218465,35021.28183905,0
midpoint,58920.4984015,37722.2206971,0
midpoint,60025.427934349995,41241.62587585,0
midpoint,60311.89114655,45333.957479000004,0
midpoint,59943.5813023,47175.50670045,0
midpoint,58020.185448799995,49794.59892645,0
midpoint,56792.48596785,50899.5284593,0
midpoint,54009.7004777,51922.611360099996,0
midpoint,52372.76783645,52249.99788835,0
midpoint,48976.1326058,50858.605143249995,0
midpoint,45293.034163,49630.90566235,0
midpoint,40750.54608345,48198.5896012,0
midpoint,36208.05800395,47748.4331249,0
midpoint,31256.33676415,47871.20307295,0
midpoint,27655.08495335,47625.66317675,0
midpoint,20616.274595950003,46725.35022405,0
midpoint,19102.111902750003,46234.2704317,0
midpoint,18119.952318,44883.80100265,0
midpoint,16687.6362569,41650.859036149996,0
midpoint,16728.559572950002,37926.8372773,0
midpoint,15828.24662025,30847.103603850002,0
midpoint,15500.860092,27204.928477,0
car_start,23767.3699304,47011.8134363,0.0
