tag,x,y
blue,-1.637,0.0
blue,-2.216,2.9131
blue,-3.867,5.3828
blue,-6.336,7.033
blue,-9.25,7.6125
blue,-12.16,7.033
blue,-14.63,5.3828
blue,-16.28,2.9131
blue,-16.86,0.0
blue,-16.28,-2.913
blue,-14.63,-5.382
blue,-12.16,-7.033
blue,-9.25,-7.612
blue,-6.336,-7.033
blue,-3.867,-5.382
blue,-2.216,-2.913
blue,19.862,0.0
blue,19.054,4.0612
blue,16.754,7.5041
blue,13.311,9.8046
blue,9.25,10.612
blue,5.1887,9.8046
blue,1.7458,7.5041
blue,1.7458,-7.504
blue,5.1887,-9.804
blue,9.25,-10.61
blue,13.311,-9.804
blue,16.754,-7.504
blue,19.054,-4.061
blue,-3.867,-5.382
yellow,16.862,0.0
yellow,16.283,2.9131
yellow,14.632,5.3828
yellow,12.163,7.033
yellow,9.25,7.6125
yellow,6.3368,7.033
yellow,3.8671,5.3828
yellow,2.2169,2.9131
yellow,1.6375,0.0
yellow,2.2169,-2.913
yellow,3.8671,-5.382
yellow,6.3368,-7.033
yellow,9.25,-7.612
yellow,12.163,-7.033
yellow,14.632,-5.382
yellow,16.283,-2.913
yellow,-1.745,7.5041
yellow,-5.188,9.8046
yellow,-9.25,10.612
yellow,-13.31,9.8046
yellow,-16.75,7.5041
yellow,-19.05,4.0612
yellow,-19.86,0.0
yellow,-19.05,-4.061
yellow,-16.75,-7.504
yellow,-13.31,-9.8
yellow,-9.25,-10.61
yellow,-5.188,-9.804
yellow,-1.745,-7.504
big_orange,-1.783,1.4851
big_orange,-1.783,-1.485
big_orange,1.7837,1.4851
big_orange,1.7837,-1.485
orange,-1.637,-9.0
orange,-1.637,-11.0
orange,1.6375,-9.0
orange,1.6375,-11.0
orange,-1.637,9.0
orange,-1.637,11.0
orange,-1.637,13.0
orange,-1.637,15.0
orange,-1.637,17.0
orange,-1.637,19.0
orange,1.6375,9.0
orange,1.6375,11.0
orange,1.6375,13.0
orange,1.6375,15.0
orange,1.6375,17.0
orange,1.6375,19.0
orange,-1.637,21.0
orange,1.6375,21.0
orange,-0.55,21.0
orange,0.55,21.0
