tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-37.042161042,-25.6087737261,0,0.01,0.01,0.0
blue,-36.4493187367,-28.5306393735,0,0.01,0.01,0.0
blue,-34.7978294578,-30.9867003525,0,0.01,0.01,0.0
blue,-32.3417684788,-32.6381896314,0,0.01,0.01,0.0
blue,-29.4199028314,-33.2310319367,0,0.01,0.01,0.0
blue,-26.498037184,-32.6381896314,0,0.01,0.01,0.0
blue,-24.041976205,-30.9867003525,0,0.01,0.01,0.0
blue,-22.3904869261,-28.5306393735,0,0.01,0.01,0.0
blue,-21.7976446208,-25.6087737261,0,0.01,0.01,0.0
blue,-22.3904869261,-22.6869080787,0,0.01,0.01,0.0
blue,-24.041976205,-20.2308470997,0,0.01,0.01,0.0
blue,-26.498037184,-18.5793578208,0,0.01,0.01,0.0
blue,-29.4199028314,-18.0288613945,0,0.01,0.01,0.0
blue,-32.3417684788,-18.5793578208,0,0.01,0.01,0.0
blue,-34.7978294578,-20.2308470997,0,0.01,0.01,0.0
blue,-36.4493187367,-22.6869080787,0,0.01,0.01,0.0
blue,-18.409974305,-18.1135531523,0,0.01,0.01,0.0
blue,-14.9799581102,-15.8268756892,0,0.01,0.01,0.0
blue,-10.9147537312,-15.0223039892,0,0.01,0.01,0.0
blue,-6.84954935225,-15.8268756892,0,0.01,0.01,0.0
blue,-3.41953315748,-18.1135531523,0,0.01,0.01,0.0
blue,-1.09050981536,-21.5435693471,0,0.01,0.01,0.0
blue,-0.285938115348,-25.6087737261,0,0.01,0.01,0.0
blue,-1.09050981536,-29.6739781051,0,0.01,0.01,0.0
blue,-3.41953315748,-33.1463401788,0,0.01,0.01,0.0
blue,-6.84954935225,-35.433017642,0,0.01,0.01,0.0
blue,-10.9147537312,-36.237589342,0,0.01,0.01,0.0
blue,-14.9799581102,-35.433017642,0,0.01,0.01,0.0
blue,-18.409974305,-33.1463401788,0,0.01,0.01,0.0
blue,-37.042161042,-25.6087737261,0,0.01,0.01,0.0
yellow,-40.0063725683,-25.6087737261,0,0.01,0.01,0.0
yellow,-39.2018008683,-29.6739781051,0,0.01,0.01,0.0
yellow,-36.9151234051,-33.1463401788,0,0.01,0.01,0.0
yellow,-33.4851072104,-35.433017642,0,0.01,0.01,0.0
yellow,-29.4199028314,-36.237589342,0,0.01,0.01,0.0
yellow,-25.3546984524,-35.433017642,0,0.01,0.01,0.0
yellow,-21.9246822576,-33.1463401788,0,0.01,0.01,0.0
yellow,-16.2926803576,-30.9867003525,0,0.01,0.01,0.0
yellow,-13.8366193786,-32.6381896314,0,0.01,0.01,0.0
yellow,-10.9147537312,-33.2310319367,0,0.01,0.01,0.0
yellow,-7.99288808384,-32.6381896314,0,0.01,0.01,0.0
yellow,-5.53682710487,-30.9867003525,0,0.01,0.01,0.0
yellow,-3.88533782591,-28.5306393735,0,0.01,0.01,0.0
yellow,-3.29249552064,-25.6087737261,0,0.01,0.01,0.0
yellow,-3.88533782591,-22.6869080787,0,0.01,0.01,0.0
yellow,-5.53682710487,-20.2308470997,0,0.01,0.01,0.0
yellow,-7.99288808384,-18.5793578208,0,0.01,0.01,0.0
yellow,-10.9147537312,-18.0288613945,0,0.01,0.01,0.0
yellow,-13.8366193786,-18.5793578208,0,0.01,0.01,0.0
yellow,-16.2926803576,-20.2308470997,0,0.01,0.01,0.0
yellow,-17.9441696366,-22.6869080787,0,0.01,0.01,0.0
yellow,-18.5370119418,-25.6087737261,0,0.01,0.01,0.0
yellow,-17.9441696366,-28.5306393735,0,0.01,0.01,0.0
yellow,-21.9246822576,-18.1135531523,0,0.01,0.01,0.0
yellow,-25.3546984524,-15.8268756892,0,0.01,0.01,0.0
yellow,-29.4199028314,-15.0223039892,0,0.01,0.01,0.0
yellow,-33.4851072104,-15.8268756892,0,0.01,0.01,0.0
yellow,-36.9151234051,-18.1135531523,0,0.01,0.01,0.0
yellow,-39.2018008683,-21.5435693471,0,0.01,0.01,0.0
yellow,-40.0063725683,-25.6087737261,0,0.01,0.01,0.0
big_orange,-21.9246822576,-27.0908794893,0,0.01,0.01,0.0
big_orange,-21.9246822576,-24.1266679629,0,0.01,0.01,0.0
big_orange,-18.367628426,-27.0908794893,0,0.01,0.01,0.0
big_orange,-18.367628426,-24.1266679629,0,0.01,0.01,0.0
orange,-21.7976446208,-36.6187022525,0,0.01,0.01,0.0
orange,-21.7976446208,-34.628445942,0,0.01,0.01,0.0
orange,-21.7976446208,-16.6314473892,0,0.01,0.01,0.0
orange,-21.7976446208,-14.6411910786,0,0.01,0.01,0.0
