tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,9.81,1.70,0,0.01,0.01,0.0
blue,14.77,1.78,0,0.01,0.01,0.0
blue,19.04,2.03,0,0.01,0.01,0.0
blue,24.17,2.68,0,0.01,0.01,0.0
blue,28.26,3.61,0,0.01,0.01,0.0
blue,31.99,4.95,0,0.01,0.01,0.0
blue,35.66,7.08,0,0.01,0.01,0.0
blue,38.15,9.64,0,0.01,0.01,0.0
blue,39.31,12.42,0,0.01,0.01,0.0
blue,38.98,15.85,0,0.01,0.01,0.0
blue,37.53,18.45,0,0.01,0.01,0.0
blue,34.41,21.49,0,0.01,0.01,0.0
blue,30.79,23.77,0,0.01,0.01,0.0
blue,26.48,25.68,0,0.01,0.01,0.0
blue,22.72,26.92,0,0.01,0.01,0.0
blue,17.85,28.15,0,0.01,0.01,0.0
blue,13.05,29.10,0,0.01,0.01,0.0
blue,7.64,30.09,0,0.01,0.01,0.0
blue,3.60,31.01,0,0.01,0.01,0.0
blue,-0.64,32.53,0,0.01,0.01,0.0
blue,-4.17,34.80,0,0.01,0.01,0.0
blue,-6.99,37.83,0,0.01,0.01,0.0
blue,-9.67,42.09,0,0.01,0.01,0.0
blue,-11.85,46.07,0,0.01,0.01,0.0
blue,-14.20,50.03,0,0.01,0.01,0.0
blue,-16.86,53.57,0,0.01,0.01,0.0
blue,-19.81,56.29,0,0.01,0.01,0.0
blue,-22.89,57.93,0,0.01,0.01,0.0
blue,-26.45,58.34,0,0.01,0.01,0.0
blue,-29.41,57.47,0,0.01,0.01,0.0
blue,-32.71,55.06,0,0.01,0.01,0.0
blue,-35.25,52.02,0,0.01,0.01,0.0
blue,-37.84,47.83,0,0.01,0.01,0.0
blue,-40.22,43.48,0,0.01,0.01,0.0
blue,-42.82,39.44,0,0.01,0.01,0.0
blue,-45.59,36.48,0,0.01,0.01,0.0
blue,-49.03,34.11,0,0.01,0.01,0.0
blue,-53.12,32.25,0,0.01,0.01,0.0
blue,-57.79,30.62,0,0.01,0.01,0.0
blue,-62.00,29.22,0,0.01,0.01,0.0
blue,-67.17,27.29,0,0.01,0.01,0.0
blue,-71.31,25.35,0,0.01,0.01,0.0
blue,-75.01,23.09,0,0.01,0.01,0.0
blue,-78.01,20.56,0,0.01,0.01,0.0
blue,-80.40,17.37,0,0.01,0.01,0.0
blue,-81.36,14.27,0,0.01,0.01,0.0
blue,-80.95,11.42,0,0.01,0.01,0.0
blue,-79.20,8.78,0,0.01,0.01,0.0
blue,-76.10,6.48,0,0.01,0.01,0.0
blue,-71.86,4.75,0,0.01,0.01,0.0
blue,-67.73,3.82,0,0.01,0.01,0.0
blue,-63.29,3.33,0,0.01,0.01,0.0
blue,-58.76,3.21,0,0.01,0.01,0.0
blue,-53.43,3.38,0,0.01,0.01,0.0
blue,-48.37,3.71,0,0.01,0.01,0.0
blue,-43.66,3.99,0,0.01,0.01,0.0
blue,-39.30,4.11,0,0.01,0.01,0.0
blue,-33.91,3.89,0,0.01,0.01,0.0
blue,-29.49,3.40,0,0.01,0.01,0.0
blue,-24.61,2.72,0,0.01,0.01,0.0
blue,-19.79,2.14,0,0.01,0.01,0.0
blue,-14.93,1.79,0,0.01,0.01,0.0
blue,-9.96,1.69,0,0.01,0.01,0.0
blue,-5.45,1.72,0,0.01,0.01,0.0
blue,-0.00,1.75,0,0.01,0.01,0.0
yellow,9.82,-1.80,0,0.01,0.01,0.0
yellow,14.89,-1.72,0,0.01,0.01,0.0
yellow,19.33,-1.46,0,0.01,0.01,0.0
yellow,23.87,-0.92,0,0.01,0.01,0.0
yellow,28.35,0.01,0,0.01,0.01,0.0
yellow,32.61,1.41,0,0.01,0.01,0.0
yellow,36.43,3.36,0,0.01,0.01,0.0
yellow,40.11,6.46,0,0.01,0.01,0.0
yellow,42.13,9.67,0,0.01,0.01,0.0
yellow,42.90,13.30,0,0.01,0.01,0.0
yellow,42.27,17.04,0,0.01,0.01,0.0
yellow,40.32,20.56,0,0.01,0.01,0.0
yellow,37.25,23.70,0,0.01,0.01,0.0
yellow,34.15,25.89,0,0.01,0.01,0.0
yellow,29.65,28.18,0,0.01,0.01,0.0
yellow,25.72,29.66,0,0.01,0.01,0.0
yellow,20.63,31.10,0,0.01,0.01,0.0
yellow,15.61,32.18,0,0.01,0.01,0.0
yellow,10.90,33.04,0,0.01,0.01,0.0
yellow,5.96,34.02,0,0.01,0.01,0.0
yellow,1.98,35.21,0,0.01,0.01,0.0
yellow,-1.49,37.13,0,0.01,0.01,0.0
yellow,-4.18,39.93,0,0.01,0.01,0.0
yellow,-6.61,43.80,0,0.01,0.01,0.0
yellow,-8.79,47.77,0,0.01,0.01,0.0
yellow,-11.28,51.95,0,0.01,0.01,0.0
yellow,-14.24,55.89,0,0.01,0.01,0.0
yellow,-17.13,58.65,0,0.01,0.01,0.0
yellow,-20.38,60.69,0,0.01,0.01,0.0
yellow,-24.64,61.84,0,0.01,0.01,0.0
yellow,-28.23,61.59,0,0.01,0.01,0.0
yellow,-32.24,59.89,0,0.01,0.01,0.0
yellow,-35.69,57.02,0,0.01,0.01,0.0
yellow,-38.11,54.05,0,0.01,0.01,0.0
yellow,-40.90,49.53,0,0.01,0.01,0.0
yellow,-43.27,45.20,0,0.01,0.01,0.0
yellow,-45.60,41.56,0,0.01,0.01,0.0
yellow,-48.30,38.77,0,0.01,0.01,0.0
yellow,-51.84,36.60,0,0.01,0.01,0.0
yellow,-55.79,34.99,0,0.01,0.01,0.0
yellow,-60.54,33.40,0,0.01,0.01,0.0
yellow,-64.91,31.91,0,0.01,0.01,0.0
yellow,-69.42,30.13,0,0.01,0.01,0.0
yellow,-73.80,27.97,0,0.01,0.01,0.0
yellow,-77.79,25.39,0,0.01,0.01,0.0
yellow,-81.10,22.38,0,0.01,0.01,0.0
yellow,-83.50,19.00,0,0.01,0.01,0.0
yellow,-84.75,15.32,0,0.01,0.01,0.0
yellow,-84.65,11.59,0,0.01,0.01,0.0
yellow,-83.17,8.15,0,0.01,0.01,0.0
yellow,-80.54,5.26,0,0.01,0.01,0.0
yellow,-77.02,3.02,0,0.01,0.01,0.0
yellow,-72.86,1.40,0,0.01,0.01,0.0
yellow,-68.29,0.37,0,0.01,0.01,0.0
yellow,-63.52,-0.16,0,0.01,0.01,0.0
yellow,-58.75,-0.29,0,0.01,0.01,0.0
yellow,-54.13,-0.16,0,0.01,0.01,0.0
yellow,-48.95,0.16,0,0.01,0.01,0.0
yellow,-44.23,0.46,0,0.01,0.01,0.0
yellow,-39.30,0.61,0,0.01,0.01,0.0
yellow,-34.19,0.40,0,0.01,0.01,0.0
yellow,-29.34,-0.15,0,0.01,0.01,0.0
yellow,-24.48,-0.83,0,0.01,0.01,0.0
yellow,-20.14,-1.34,0,0.01,0.01,0.0
yellow,-15.08,-1.70,0,0.01,0.01,0.0
yellow,-9.97,-1.81,0,0.01,0.01,0.0
yellow,-5.42,-1.78,0,0.01,0.01,0.0
yellow,0.00,-1.75,0,0.01,0.01,0.0
big_orange,6.12,1.72,0,0.01,0.01,0.0
big_orange,6.09,-1.78,0,0.01,0.01,0.0
big_orange,4.12,1.73,0,0.01,0.01,0.0
big_orange,4.09,-1.77,0,0.01,0.01,0.0
car_start,0.0,0.0,0,0.01,0.01,0.0
