tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,9.85,1.74,0,0.01,0.01,0.0
blue,14.81,2.13,0,0.01,0.01,0.0
blue,18.90,2.92,0,0.01,0.01,0.0
blue,23.26,4.51,0,0.01,0.01,0.0
blue,26.48,6.47,0,0.01,0.01,0.0
blue,29.53,9.39,0,0.01,0.01,0.0
blue,31.77,12.90,0,0.01,0.01,0.0
blue,33.24,16.84,0,0.01,0.01,0.0
blue,34.05,21.07,0,0.01,0.01,0.0
blue,34.36,25.45,0,0.01,0.01,0.0
blue,34.27,30.51,0,0.01,0.01,0.0
blue,33.90,34.93,0,0.01,0.01,0.0
blue,33.07,39.87,0,0.01,0.01,0.0
blue,31.84,43.98,0,0.01,0.01,0.0
blue,29.94,47.70,0,0.01,0.01,0.0
blue,27.67,50.43,0,0.01,0.01,0.0
blue,24.19,52.92,0,0.01,0.01,0.0
blue,20.45,54.30,0,0.01,0.01,0.0
blue,16.87,54.84,0,0.01,0.01,0.0
blue,12.12,54.72,0,0.01,0.01,0.0
blue,7.96,54.02,0,0.01,0.01,0.0
blue,2.92,52.61,0,0.01,0.01,0.0
blue,-1.19,51.14,0,0.01,0.01,0.0
blue,-5.90,49.35,0,0.01,0.01,0.0
blue,-10.39,47.89,0,0.01,0.01,0.0
blue,-14.77,47.15,0,0.01,0.01,0.0
blue,-19.13,47.50,0,0.01,0.01,0.0
blue,-22.77,48.69,0,0.01,0.01,0.0
blue,-27.24,51.07,0,0.01,0.01,0.0
blue,-31.21,53.64,0,0.01,0.01,0.0
blue,-35.51,56.55,0,0.01,0.01,0.0
blue,-39.20,58.95,0,0.01,0.01,0.0
blue,-43.08,61.26,0,0.01,0.01,0.0
blue,-47.10,63.35,0,0.01,0.01,0.0
blue,-52.15,65.45,0,0.01,0.01,0.0
blue,-56.08,66.59,0,0.01,0.01,0.0
blue,-60.63,67.23,0,0.01,0.01,0.0
blue,-64.51,66.97,0,0.01,0.01,0.0
blue,-67.49,65.90,0,0.01,0.01,0.0
blue,-69.80,63.76,0,0.01,0.01,0.0
blue,-70.85,60.78,0,0.01,0.01,0.0
blue,-70.60,56.98,0,0.01,0.01,0.0
blue,-69.02,52.65,0,0.01,0.01,0.0
blue,-66.84,48.92,0,0.01,0.01,0.0
blue,-64.08,45.27,0,0.01,0.01,0.0
blue,-61.00,41.80,0,0.01,0.01,0.0
blue,-57.82,38.55,0,0.01,0.01,0.0
blue,-54.18,34.88,0,0.01,0.01,0.0
blue,-50.95,31.37,0,0.01,0.01,0.0
blue,-48.27,27.85,0,0.01,0.01,0.0
blue,-45.87,23.63,0,0.01,0.01,0.0
blue,-44.03,19.29,0,0.01,0.01,0.0
blue,-42.15,14.33,0,0.01,0.01,0.0
blue,-40.26,10.21,0,0.01,0.01,0.0
blue,-38.25,7.05,0,0.01,0.01,0.0
blue,-35.37,4.00,0,0.01,0.01,0.0
blue,-31.91,1.80,0,0.01,0.01,0.0
blue,-27.96,0.48,0,0.01,0.01,0.0
blue,-23.66,-0.02,0,0.01,0.01,0.0
blue,-19.17,0.13,0,0.01,0.01,0.0
blue,-13.97,0.72,0,0.01,0.01,0.0
blue,-9.39,1.28,0,0.01,0.01,0.0
blue,-4.74,1.64,0,0.01,0.01,0.0
blue,0.00,1.75,0,0.01,0.01,0.0
yellow,9.97,-1.76,0,0.01,0.01,0.0
yellow,14.51,-1.44,0,0.01,0.01,0.0
yellow,19.05,-0.65,0,0.01,0.01,0.0
yellow,23.40,0.75,0,0.01,0.01,0.0
yellow,27.38,2.83,0,0.01,0.01,0.0
yellow,30.79,5.58,0,0.01,0.01,0.0
yellow,33.51,8.90,0,0.01,0.01,0.0
yellow,35.49,12.63,0,0.01,0.01,0.0
yellow,36.79,16.59,0,0.01,0.01,0.0
yellow,37.60,21.32,0,0.01,0.01,0.0
yellow,37.87,26.03,0,0.01,0.01,0.0
yellow,37.77,30.70,0,0.01,0.01,0.0
yellow,37.38,35.34,0,0.01,0.01,0.0
yellow,36.63,39.99,0,0.01,0.01,0.0
yellow,35.34,44.60,0,0.01,0.01,0.0
yellow,33.60,48.41,0,0.01,0.01,0.0
yellow,31.11,51.91,0,0.01,0.01,0.0
yellow,28.39,54.40,0,0.01,0.01,0.0
yellow,24.37,56.69,0,0.01,0.01,0.0
yellow,20.48,57.88,0,0.01,0.01,0.0
yellow,16.22,58.38,0,0.01,0.01,0.0
yellow,11.75,58.20,0,0.01,0.01,0.0
yellow,7.19,57.43,0,0.01,0.01,0.0
yellow,2.70,56.21,0,0.01,0.01,0.0
yellow,-2.42,54.42,0,0.01,0.01,0.0
yellow,-7.11,52.64,0,0.01,0.01,0.0
yellow,-11.28,51.27,0,0.01,0.01,0.0
yellow,-14.96,50.65,0,0.01,0.01,0.0
yellow,-18.97,51.05,0,0.01,0.01,0.0
yellow,-22.66,52.50,0,0.01,0.01,0.0
yellow,-26.89,54.99,0,0.01,0.01,0.0
yellow,-30.92,57.68,0,0.01,0.01,0.0
yellow,-34.48,60.07,0,0.01,0.01,0.0
yellow,-38.33,62.52,0,0.01,0.01,0.0
yellow,-42.41,64.89,0,0.01,0.01,0.0
yellow,-46.66,67.01,0,0.01,0.01,0.0
yellow,-51.00,68.75,0,0.01,0.01,0.0
yellow,-55.30,70.00,0,0.01,0.01,0.0
yellow,-60.47,70.73,0,0.01,0.01,0.0
yellow,-64.30,70.55,0,0.01,0.01,0.0
yellow,-68.49,69.32,0,0.01,0.01,0.0
yellow,-71.19,67.50,0,0.01,0.01,0.0
yellow,-73.49,64.29,0,0.01,0.01,0.0
yellow,-74.40,60.40,0,0.01,0.01,0.0
yellow,-74.02,56.21,0,0.01,0.01,0.0
yellow,-72.56,51.95,0,0.01,0.01,0.0
yellow,-70.79,48.60,0,0.01,0.01,0.0
yellow,-68.01,44.58,0,0.01,0.01,0.0
yellow,-64.85,40.82,0,0.01,0.01,0.0
yellow,-61.59,37.37,0,0.01,0.01,0.0
yellow,-57.84,33.61,0,0.01,0.01,0.0
yellow,-54.57,30.19,0,0.01,0.01,0.0
yellow,-51.92,26.96,0,0.01,0.01,0.0
yellow,-49.58,23.22,0,0.01,0.01,0.0
yellow,-47.53,18.65,0,0.01,0.01,0.0
yellow,-45.90,14.31,0,0.01,0.01,0.0
yellow,-43.99,9.82,0,0.01,0.01,0.0
yellow,-41.87,6.11,0,0.01,0.01,0.0
yellow,-39.18,2.77,0,0.01,0.01,0.0
yellow,-35.89,0.04,0,0.01,0.01,0.0
yellow,-32.10,-1.93,0,0.01,0.01,0.0
yellow,-28.00,-3.08,0,0.01,0.01,0.0
yellow,-23.77,-3.51,0,0.01,0.01,0.0
yellow,-18.88,-3.36,0,0.01,0.01,0.0
yellow,-14.17,-2.84,0,0.01,0.01,0.0
yellow,-9.02,-2.20,0,0.01,0.01,0.0
yellow,-4.57,-1.85,0,0.01,0.01,0.0
