tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,8.880858305748085,-1.8416048422125848,0.0,0.1,0.1,0
big_orange,5.864889639609889,-1.37548653559188,0.0,0.1,0.1,0
yellow,10.98178063312362,-3.3199982647931083,0.0,0.1,0.1,0
yellow,9.615498001540846,-5.326765336292018,0.0,0.1,0.1,0
big_orange,2.856486859616506,-2.2149538092161896,0.0,0.1,0.1,0
blue,7.304385152740191,-9.823166588847057,0.0,0.1,0.1,0
yellow,3.6653717325489317,-6.0385666816126875,0.0,0.1,0.1,0
blue,3.993105960561033,-10.247710339362833,0.0,0.1,0.1,0
big_orange,1.8994664630126983,3.233600687988845,0.0,0.1,0.1,0
big_orange,4.883197918476752,3.34197919664729,0.0,0.1,0.1,0
blue,7.808901087918861,3.4845943031325555,0.0,0.1,0.1,0
blue,11.050359662609686,3.291682742274748,0.0,0.1,0.1,0
blue,18.264113579425068,-5.4909271900222265,0.0,0.1,0.1,0
blue,13.770831719562299,-9.035862047265605,0.0,0.1,0.1,0
blue,14.132573152389023,1.9748198887865354,0.0,0.1,0.1,0
blue,10.258496220047016,-9.435842127447861,0.0,0.1,0.1,0
blue,17.269939966411645,-7.921044173772532,0.0,0.1,0.1,0
blue,17.147320715211666,0.33833284800812546,0.0,0.1,0.1,0
blue,18.515211784615133,-1.3725935532488163,0.0,0.1,0.1,0
blue,1.5786705986614364,-10.735907328566642,0.0,0.1,0.1,0
blue,-5.124085666468587,-10.969082053477587,0.0,0.1,0.1,0
blue,-2.3564790163333127,-10.94494760214339,0.0,0.1,0.1,0
yellow,-2.6175679653433828,-7.045892963073357,0.0,0.1,0.1,0
yellow,1.1726756580299003,-6.498400960205347,0.0,0.1,0.1,0
blue,-8.572414712509104,-10.401889695227558,0.0,0.1,0.1,0
yellow,-4.662174247737055,-5.407601548018367,0.0,0.1,0.1,0
yellow,-2.9155341843440916,-3.1382952198455882,0.0,0.1,0.1,0
yellow,0.10151306308816435,-2.762500568633439,0.0,0.1,0.1,0
blue,-3.6388662269849332,1.9987835968486216,0.0,0.1,0.1,0
blue,-11.400539690316924,-1.944936353271931,0.0,0.1,0.1,0
blue,-12.337448310199294,-5.561462736381308,0.0,0.1,0.1,0
blue,-7.4878462744881205,1.015142646816794,0.0,0.1,0.1,0
blue,-11.782248492108904,-7.915727968314391,0.0,0.1,0.1,0
blue,-0.6145203392638353,2.814374362304254,0.0,0.1,0.1,0
yellow,6.8622816308096,-5.348793909953453,0.0,0.1,0.1,0
car_start,0.0,0.0,0.0,0.0,0.0,0.0
