tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,1.13,4.41,0,0.01,0.01,0.0
blue,0.58,4.85,0,0.01,0.01,0.0
blue,-0.01,5.01,0,0.01,0.01,0.0
blue,-0.60,4.94,0,0.01,0.01,0.0
blue,-1.11,4.64,0,0.01,0.01,0.0
blue,-1.50,4.16,0,0.01,0.01,0.0
blue,-1.69,3.46,0,0.01,0.01,0.0
blue,-1.60,2.72,0,0.01,0.01,0.0
blue,-1.23,2.08,0,0.01,0.01,0.0
blue,-0.73,1.68,0,0.01,0.01,0.0
blue,-0.15,1.51,0,0.01,0.01,0.0
blue,0.44,1.57,0,0.01,0.01,0.0
blue,0.96,1.85,0,0.01,0.01,0.0
blue,1.39,2.40,0,0.01,0.01,0.0
blue,1.57,3.10,0,0.01,0.01,0.0
yellow,3.82,5.81,0,0.01,0.01,0.0
yellow,3.14,6.65,0,0.01,0.01,0.0
yellow,2.29,7.33,0,0.01,0.01,0.0
yellow,1.30,7.79,0,0.01,0.01,0.0
yellow,0.21,8.00,0,0.01,0.01,0.0
yellow,-0.68,7.98,0,0.01,0.01,0.0
yellow,-1.76,7.71,0,0.01,0.01,0.0
yellow,-2.73,7.18,0,0.01,0.01,0.0
yellow,-3.55,6.44,0,0.01,0.01,0.0
yellow,-4.16,5.53,0,0.01,0.01,0.0
yellow,-4.55,4.52,0,0.01,0.01,0.0
yellow,-4.69,3.46,0,0.01,0.01,0.0
yellow,-4.60,2.39,0,0.01,0.01,0.0
yellow,-4.20,1.17,0,0.01,0.01,0.0
yellow,-3.63,0.27,0,0.01,0.01,0.0
yellow,-2.86,-0.50,0,0.01,0.01,0.0
yellow,-1.93,-1.07,0,0.01,0.01,0.0
yellow,-0.88,-1.41,0,0.01,0.01,0.0
yellow,-0.00,-1.50,0,0.01,0.01,0.0
yellow,1.10,-1.36,0,0.01,0.01,0.0
yellow,2.14,-0.96,0,0.01,0.01,0.0
yellow,3.04,-0.32,0,0.01,0.01,0.0
yellow,3.76,0.51,0,0.01,0.01,0.0
yellow,4.26,1.48,0,0.01,0.01,0.0
yellow,4.53,2.53,0,0.01,0.01,0.0
yellow,4.56,3.60,0,0.01,0.01,0.0
big_orange,1.38,4.07,0,0.01,0.01,0.0
big_orange,4.20,5.08,0,0.01,0.01,0.0
big_orange,1.54,3.60,0,0.01,0.01,0.0
big_orange,4.37,4.61,0,0.01,0.01,0.0
car_start,0.0,0.0,0,0.01,0.01,0.0
