tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,10.39105,-11.44442,-3.122349,0.01,0.01,0.0
blue,8.6312,-12.96333,0.0,0.01,0.01,0.0
yellow,8.568673,-9.96398,0.0,0.01,0.01,0.0
blue,10.32882,-12.94512,0.0,0.01,0.01,0.0
yellow,10.27085,-9.945684,0.0,0.01,0.01,0.0
blue,12.02645,-12.9269,0.0,0.01,0.01,0.0
yellow,11.97303,-9.927388,0.0,0.01,0.01,0.0
blue,13.72407,-12.90869,0.0,0.01,0.01,0.0
yellow,13.67521,-9.909093,0.0,0.01,0.01,0.0
blue,15.41801,-12.88244,0.0,0.01,0.01,0.0
yellow,15.38083,-9.88267,0.0,0.01,0.01,0.0
blue,17.11684,-12.87238,0.0,0.01,0.01,0.0
yellow,17.08194,-9.872581,0.0,0.01,0.01,0.0
blue,18.844,-12.84745,0.0,0.01,0.01,0.0
yellow,18.75434,-9.848794,0.0,0.01,0.01,0.0
blue,20.63448,-12.74511,0.0,0.01,0.01,0.0
yellow,20.35781,-9.757906,0.0,0.01,0.01,0.0
blue,22.29279,-12.57468,0.0,0.01,0.01,0.0
yellow,22.081,-9.582167,0.0,0.01,0.01,0.0
blue,24.02864,-12.45313,0.0,0.01,0.01,0.0
yellow,23.73674,-9.46739,0.0,0.01,0.01,0.0
blue,26.01267,-12.07732,0.0,0.01,0.01,0.0
yellow,25.0891,-9.223343,0.0,0.01,0.01,0.0
blue,28.21189,-10.48432,0.0,0.01,0.01,0.0
blue,27.9837,-7.211304,0.0,0.01,0.01,0.0
yellow,25.56573,-8.97901,0.0,0.01,0.01,0.0
blue,25.54052,-5.874446,0.0,0.01,0.01,0.0
yellow,25.03398,-8.831072,0.0,0.01,0.01,0.0
blue,23.54389,-5.776832,0.0,0.01,0.01,0.0
yellow,23.63985,-8.775257,0.0,0.01,0.01,0.0
blue,21.8646,-5.848336,0.0,0.01,0.01,0.0
yellow,21.9223,-8.847773,0.0,0.01,0.01,0.0
blue,20.28905,-5.769602,0.0,0.01,0.01,0.0
yellow,20.10328,-8.763805,0.0,0.01,0.01,0.0
blue,18.56349,-5.681857,0.0,0.01,0.01,0.0
yellow,18.4333,-8.678997,0.0,0.01,0.01,0.0
blue,16.85108,-5.617311,0.0,0.01,0.01,0.0
yellow,16.74814,-8.615543,0.0,0.01,0.01,0.0
blue,15.15288,-5.565009,0.0,0.01,0.01,0.0
yellow,15.04795,-8.563172,0.0,0.01,0.01,0.0
blue,13.45467,-5.512708,0.0,0.01,0.01,0.0
yellow,13.34776,-8.510801,0.0,0.01,0.01,0.0
blue,11.7588,-5.454271,0.0,0.01,0.01,0.0
yellow,11.64569,-8.452118,0.0,0.01,0.01,0.0
blue,10.06669,-5.385944,0.0,0.01,0.01,0.0
yellow,9.940563,-8.38326,0.0,0.01,0.01,0.0
blue,8.34927,-5.315883,0.0,0.01,0.01,0.0
yellow,8.260826,-8.314567,0.0,0.01,0.01,0.0
blue,6.486441,-5.396667,0.0,0.01,0.01,0.0
yellow,6.729046,-8.386839,0.0,0.01,0.01,0.0
blue,4.811333,-5.53997,0.0,0.01,0.01,0.0
yellow,5.016557,-8.532929,0.0,0.01,0.01,0.0
blue,3.311315,-5.563415,0.0,0.01,0.01,0.0
yellow,3.119424,-8.55717,0.0,0.01,0.01,0.0
blue,2.161053,-5.329497,0.0,0.01,0.01,0.0
yellow,0.9624012,-8.079431,0.0,0.01,0.01,0.0
blue,1.701558,-4.885475,0.0,0.01,0.01,0.0
yellow,-0.9793845,-6.231573,0.0,0.01,0.01,0.0
blue,1.508419,-4.57375,0.0,0.01,0.01,0.0
yellow,-1.191844,-3.274399,0.0,0.01,0.01,0.0
blue,1.775649,-4.34668,0.0,0.01,0.01,0.0
yellow,1.11015,-1.422315,0.0,0.01,0.01,0.0
blue,3.172634,-4.325223,0.0,0.01,0.01,0.0
yellow,3.103723,-1.326023,0.0,0.01,0.01,0.0
blue,4.813838,-4.319779,0.0,0.01,0.01,0.0
yellow,4.862063,-1.320213,0.0,0.01,0.01,0.0
blue,6.505422,-4.3585,0.0,0.01,0.01,0.0
yellow,6.569587,-1.359193,0.0,0.01,0.01,0.0
blue,8.242163,-4.382194,0.0,0.01,0.01,0.0
yellow,8.232334,-1.38226,0.0,0.01,0.01,0.0
blue,9.953615,-4.356051,0.0,0.01,0.01,0.0
yellow,9.920429,-1.356238,0.0,0.01,0.01,0.0
blue,11.65535,-4.324704,0.0,0.01,0.01,0.0
yellow,11.61812,-1.324938,0.0,0.01,0.01,0.0
blue,13.34546,-4.299324,0.0,0.01,0.01,0.0
yellow,13.32757,-1.299401,0.0,0.01,0.01,0.0
blue,14.96762,-4.319291,0.0,0.01,0.01,0.0
yellow,15.1047,-1.32246,0.0,0.01,0.01,0.0
blue,16.6247,-4.430276,0.0,0.01,0.01,0.0
yellow,16.83994,-1.438013,0.0,0.01,0.01,0.0
blue,18.35309,-4.548361,0.0,0.01,0.01,0.0
yellow,18.50349,-1.552148,0.0,0.01,0.01,0.0
blue,20.20382,-4.562835,0.0,0.01,0.01,0.0
yellow,20.05121,-1.566765,0.0,0.01,0.01,0.0
blue,21.84062,-4.518176,0.0,0.01,0.01,0.0
yellow,21.81227,-1.51831,0.0,0.01,0.01,0.0
blue,23.60574,-4.48543,0.0,0.01,0.01,0.0
yellow,23.4462,-1.489705,0.0,0.01,0.01,0.0
blue,25.57727,-4.214186,0.0,0.01,0.01,0.0
yellow,24.81,-1.5,0.0,0.01,0.01,0.0
blue,27.76295,-3.047071,0.0,0.01,0.01,0.0
yellow,25.63663,-0.9322623,0.0,0.01,0.01,0.0
blue,28.0549,0.4545321,0.0,0.01,0.01,0.0
yellow,25.62126,-1.299292,0.0,0.01,0.01,0.0
blue,25.67662,1.828154,0.0,0.01,0.01,0.0
yellow,24.78,-0.92,0.0,0.01,0.01,0.0
blue,23.7024,2.0128,0.0,0.01,0.01,0.0
yellow,23.65099,-0.9867403,0.0,0.01,0.01,0.0
blue,22.03858,2.030222,0.0,0.01,0.01,0.0
yellow,21.9152,-0.9671971,0.0,0.01,0.01,0.0
blue,20.36033,2.152814,0.0,0.01,0.01,0.0
yellow,20.20284,-0.8430343,0.0,0.01,0.01,0.0
blue,18.61113,2.209968,0.0,0.01,0.01,0.0
yellow,18.55404,-0.7894455,0.0,0.01,0.01,0.0
blue,16.9043,2.229237,0.0,0.01,0.01,0.0
yellow,16.86113,-0.7704524,0.0,0.01,0.01,0.0
blue,15.20619,2.245316,0.0,0.01,0.01,0.0
yellow,15.1594,-0.7543063,0.0,0.01,0.01,0.0
blue,13.51997,2.282779,0.0,0.01,0.01,0.0
yellow,13.44648,-0.7163085,0.0,0.01,0.01,0.0
blue,11.81738,2.322898,0.0,0.01,0.01,0.0
yellow,11.75003,-0.6763257,0.0,0.01,0.01,0.0
blue,10.11478,2.363018,0.0,0.01,0.01,0.0
yellow,10.05357,-0.6363429,0.0,0.01,0.01,0.0
blue,8.40736,2.40108,0.0,0.01,0.01,0.0
yellow,8.361868,-0.5985346,0.0,0.01,0.01,0.0
blue,6.69576,2.409653,0.0,0.01,0.01,0.0
yellow,6.673542,-0.5902649,0.0,0.01,0.01,0.0
blue,5.003842,2.417073,0.0,0.01,0.01,0.0
yellow,4.965528,-0.5826539,0.0,0.01,0.01,0.0
blue,3.370413,2.466435,0.0,0.01,0.01,0.0
yellow,3.200833,-0.5287469,0.0,0.01,0.01,0.0
blue,1.683199,2.541667,0.0,0.01,0.01,0.0
yellow,1.491823,-0.452214,0.0,0.01,0.01,0.0
blue,0.8180292,2.747714,0.0,0.01,0.01,0.0
yellow,-0.8661125,0.2650653,0.0,0.01,0.01,0.0
blue,0.6027824,2.519877,0.0,0.01,0.01,0.0
yellow,-2.313946,3.217522,0.0,0.01,0.01,0.0
blue,0.9719198,2.873512,0.0,0.01,0.01,0.0
yellow,-0.5787364,5.440001,0.0,0.01,0.01,0.0
blue,1.742867,2.909839,0.0,0.01,0.01,0.0
yellow,1.956994,5.902102,0.0,0.01,0.01,0.0
blue,3.536219,2.779921,0.0,0.01,0.01,0.0
yellow,3.55254,5.77984,0.0,0.01,0.01,0.0
blue,5.207249,2.748708,0.0,0.01,0.01,0.0
yellow,5.280842,5.747805,0.0,0.01,0.01,0.0
blue,6.907195,2.69929,0.0,0.01,0.01,0.0
yellow,6.979447,5.698419,0.0,0.01,0.01,0.0
blue,8.607306,2.652335,0.0,0.01,0.01,0.0
yellow,8.678031,5.651501,0.0,0.01,0.01,0.0
blue,10.30823,2.618449,0.0,0.01,0.01,0.0
yellow,10.37643,5.617671,0.0,0.01,0.01,0.0
blue,12.00914,2.584564,0.0,0.01,0.01,0.0
yellow,12.07481,5.583841,0.0,0.01,0.01,0.0
blue,13.71006,2.550678,0.0,0.01,0.01,0.0
yellow,13.77321,5.550012,0.0,0.01,0.01,0.0
blue,15.39368,2.512259,0.0,0.01,0.01,0.0
yellow,15.48869,5.510749,0.0,0.01,0.01,0.0
blue,17.09231,2.449636,0.0,0.01,0.01,0.0
yellow,17.18776,5.448117,0.0,0.01,0.01,0.0
blue,18.79626,2.38918,0.0,0.01,0.01,0.0
yellow,18.88163,5.387936,0.0,0.01,0.01,0.0
blue,20.54144,2.36143,0.0,0.01,0.01,0.0
yellow,20.53586,5.3614,0.0,0.01,0.01,0.0
blue,22.17124,2.380055,0.0,0.01,0.01,0.0
yellow,22.30508,5.377019,0.0,0.01,0.01,0.0
blue,23.83265,2.254289,0.0,0.01,0.01,0.0
yellow,24.0339,5.247512,0.0,0.01,0.01,0.0
blue,25.85932,2.295764,0.0,0.01,0.01,0.0
yellow,25.39996,5.259989,0.0,0.01,0.01,0.0
blue,28.39016,3.884791,0.0,0.01,0.01,0.0
blue,28.33608,6.890041,0.0,0.01,0.01,0.0
yellow,25.6466,5.562425,0.0,0.01,0.01,0.0
blue,26.01004,8.608708,0.0,0.01,0.01,0.0
yellow,25.25101,5.706678,0.0,0.01,0.01,0.0
blue,23.94018,8.826905,0.0,0.01,0.01,0.0
yellow,23.94713,5.826944,0.0,0.01,0.01,0.0
blue,22.18616,8.764908,0.0,0.01,0.01,0.0
yellow,22.30361,5.76721,0.0,0.01,0.01,0.0
blue,20.65856,8.789386,0.0,0.01,0.01,0.0
yellow,20.43509,5.797721,0.0,0.01,0.01,0.0
blue,18.93061,8.901512,0.0,0.01,0.01,0.0
yellow,18.77027,5.905801,0.0,0.01,0.01,0.0
blue,17.21273,8.978371,0.0,0.01,0.01,0.0
yellow,17.09157,5.980851,0.0,0.01,0.01,0.0
blue,15.50068,9.040534,0.0,0.01,0.01,0.0
yellow,15.40588,6.04204,0.0,0.01,0.01,0.0
blue,13.77188,9.084758,0.0,0.01,0.01,0.0
yellow,13.73588,6.085013,0.0,0.01,0.01,0.0
blue,12.04921,9.08502,0.0,0.01,0.01,0.0
yellow,12.05859,6.085037,0.0,0.01,0.01,0.0
blue,10.35167,9.0743,0.0,0.01,0.01,0.0
yellow,10.35622,6.074305,0.0,0.01,0.01,0.0
blue,8.683517,9.082697,0.0,0.01,0.01,0.0
yellow,8.624545,6.083293,0.0,0.01,0.01,0.0
blue,7.039536,9.154243,0.0,0.01,0.01,0.0
yellow,6.872115,6.158948,0.0,0.01,0.01,0.0
blue,5.28469,9.192575,0.0,0.01,0.01,0.0
yellow,5.228046,6.193114,0.0,0.01,0.01,0.0
blue,3.66229,9.242746,0.0,0.01,0.01,0.0
yellow,3.452701,6.250107,0.0,0.01,0.01,0.0
blue,2.254701,9.448349,0.0,0.01,0.01,0.0
yellow,1.502029,6.544314,0.0,0.01,0.01,0.0
blue,1.463806,9.773013,0.0,0.01,0.01,0.0
yellow,-0.7158046,7.713721,0.0,0.01,0.01,0.0
blue,0.9055096,10.83282,0.0,0.01,0.01,0.0
yellow,-1.827937,9.596594,0.0,0.01,0.01,0.0
blue,-0.2583768,12.73975,0.0,0.01,0.01,0.0
yellow,-2.369627,10.60884,0.0,0.01,0.01,0.0
blue,-2.301873,13.87279,0.0,0.01,0.01,0.0
yellow,-3.31609,11.04951,0.0,0.01,0.01,0.0
blue,-4.198973,14.3669,0.0,0.01,0.01,0.0
yellow,-4.705458,11.40997,0.0,0.01,0.01,0.0
blue,-6.148668,14.53368,0.0,0.01,0.01,0.0
yellow,-6.13913,11.5337,0.0,0.01,0.01,0.0
blue,-8.197099,14.29271,0.0,0.01,0.01,0.0
yellow,-7.459866,11.38482,0.0,0.01,0.01,0.0
blue,-10.27193,13.27592,0.0,0.01,0.01,0.0
yellow,-8.414223,10.92057,0.0,0.01,0.01,0.0
blue,-11.70902,11.78581,0.0,0.01,0.01,0.0
yellow,-9.325498,9.96412,0.0,0.01,0.01,0.0
blue,-12.75488,10.14914,0.0,0.01,0.01,0.0
yellow,-10.10741,8.738196,0.0,0.01,0.01,0.0
blue,-13.53461,8.329269,0.0,0.01,0.01,0.0
yellow,-10.66984,7.439239,0.0,0.01,0.01,0.0
blue,-13.90876,6.355694,0.0,0.01,0.01,0.0
yellow,-10.92176,6.077128,0.0,0.01,0.01,0.0
blue,-13.96973,4.492,0.0,0.01,0.01,0.0
yellow,-10.97022,4.544341,0.0,0.01,0.01,0.0
blue,-13.87918,2.70542,0.0,0.01,0.01,0.0
yellow,-10.88807,2.935799,0.0,0.01,0.01,0.0
blue,-13.72277,0.9839696,0.0,0.01,0.01,0.0
yellow,-10.73656,1.271283,0.0,0.01,0.01,0.0
blue,-13.59163,-0.6441437,0.0,0.01,0.01,0.0
yellow,-10.59567,-0.4891865,0.0,0.01,0.01,0.0
blue,-13.52406,-2.330118,0.0,0.01,0.01,0.0
yellow,-10.52686,-2.20045,0.0,0.01,0.01,0.0
blue,-13.44342,-4.058953,0.0,0.01,0.01,0.0
yellow,-10.44954,-3.867846,0.0,0.01,0.01,0.0
blue,-13.27412,-5.852837,0.0,0.01,0.01,0.0
yellow,-10.3002,-5.458306,0.0,0.01,0.01,0.0
blue,-12.91824,-7.707613,0.0,0.01,0.01,0.0
yellow,-10.01795,-6.940728,0.0,0.01,0.01,0.0
blue,-12.19297,-9.613207,0.0,0.01,0.01,0.0
yellow,-9.542483,-8.208118,0.0,0.01,0.01,0.0
blue,-10.7941,-11.38199,0.0,0.01,0.01,0.0
yellow,-8.852612,-9.095292,0.0,0.01,0.01,0.0
blue,-8.904199,-12.48589,0.0,0.01,0.01,0.0
yellow,-7.815754,-9.690357,0.0,0.01,0.01,0.0
blue,-6.975075,-13.00526,0.0,0.01,0.01,0.0
yellow,-6.466079,-10.04879,0.0,0.01,0.01,0.0
blue,-5.115257,-13.20747,0.0,0.01,0.01,0.0
yellow,-4.947482,-10.21218,0.0,0.01,0.01,0.0
blue,-3.32192,-13.24536,0.0,0.01,0.01,0.0
yellow,-3.342129,-10.24545,0.0,0.01,0.01,0.0
blue,-1.59402,-13.20542,0.0,0.01,0.01,0.0
yellow,-1.671045,-10.20641,0.0,0.01,0.01,0.0
blue,0.0996216,-13.15452,0.0,0.01,0.01,0.0
yellow,0.03377291,-10.15527,0.0,0.01,0.01,0.0
blue,1.702833,-13.16031,0.0,0.01,0.01,0.0
yellow,1.829825,-10.16299,0.0,0.01,0.01,0.0
blue,3.493701,-13.18272,0.0,0.01,0.01,0.0
yellow,3.437933,-10.18327,0.0,0.01,0.01,0.0
blue,5.23192,-13.11892,0.0,0.01,0.01,0.0
yellow,5.097256,-10.12194,0.0,0.01,0.01,0.0
blue,6.930631,-13.03273,0.0,0.01,0.01,0.0
yellow,6.794192,-10.03584,0.0,0.01,0.01,0.0
blue,8.593949,-12.96425,0.0,0.01,0.01,0.0
yellow,8.527848,-9.964986,0.0,0.01,0.01,0.0
big_orange,9.870101,-12.96941,0.0,0.01,0.01,0.0
big_orange,9.237383,-12.96941,0.0,0.01,0.01,0.0
big_orange,9.21,-10.01,0.0,0.01,0.01,0.0
big_orange,9.82,-9.98,0.0,0.01,0.01,0.0
