tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,9.07,1.66,0,0.01,0.01,0.0
blue,12.93,2.12,0,0.01,0.01,0.0
blue,15.63,2.99,0,0.01,0.01,0.0
blue,17.90,4.37,0,0.01,0.01,0.0
blue,19.50,6.15,0,0.01,0.01,0.0
blue,20.29,8.18,0,0.01,0.01,0.0
blue,20.25,10.27,0,0.01,0.01,0.0
blue,19.58,11.96,0,0.01,0.01,0.0
blue,17.70,14.06,0,0.01,0.01,0.0
blue,15.38,15.41,0,0.01,0.01,0.0
blue,12.19,16.37,0,0.01,0.01,0.0
blue,8.31,16.77,0,0.01,0.01,0.0
blue,3.52,16.81,0,0.01,0.01,0.0
blue,-1.68,16.90,0,0.01,0.01,0.0
blue,-5.54,16.90,0,0.01,0.01,0.0
blue,-9.41,16.44,0,0.01,0.01,0.0
blue,-12.10,15.57,0,0.01,0.01,0.0
blue,-14.37,14.19,0,0.01,0.01,0.0
blue,-15.97,12.41,0,0.01,0.01,0.0
blue,-16.77,10.38,0,0.01,0.01,0.0
blue,-16.73,8.29,0,0.01,0.01,0.0
blue,-16.05,6.60,0,0.01,0.01,0.0
blue,-14.18,4.50,0,0.01,0.01,0.0
blue,-11.86,3.14,0,0.01,0.01,0.0
blue,-8.66,2.19,0,0.01,0.01,0.0
blue,-4.79,1.78,0,0.01,0.01,0.0
blue,0.00,1.75,0,0.01,0.01,0.0
yellow,9.21,-1.84,0,0.01,0.01,0.0
yellow,13.11,-1.41,0,0.01,0.01,0.0
yellow,16.51,-0.44,0,0.01,0.01,0.0
yellow,19.64,1.29,0,0.01,0.01,0.0
yellow,21.78,3.34,0,0.01,0.01,0.0
yellow,23.26,5.87,0,0.01,0.01,0.0
yellow,23.87,8.70,0,0.01,0.01,0.0
yellow,23.67,11.02,0,0.01,0.01,0.0
yellow,22.60,13.73,0,0.01,0.01,0.0
yellow,20.32,16.44,0,0.01,0.01,0.0
yellow,17.85,18.11,0,0.01,0.01,0.0
yellow,13.97,19.56,0,0.01,0.01,0.0
yellow,10.05,20.18,0,0.01,0.01,0.0
yellow,5.91,20.31,0,0.01,0.01,0.0
yellow,1.22,20.33,0,0.01,0.01,0.0
yellow,-3.58,20.43,0,0.01,0.01,0.0
yellow,-7.89,20.23,0,0.01,0.01,0.0
yellow,-11.30,19.57,0,0.01,0.01,0.0
yellow,-14.60,18.23,0,0.01,0.01,0.0
yellow,-17.04,16.51,0,0.01,0.01,0.0
yellow,-18.94,14.26,0,0.01,0.01,0.0
yellow,-20.09,11.58,0,0.01,0.01,0.0
yellow,-20.32,8.69,0,0.01,0.01,0.0
yellow,-19.61,5.87,0,0.01,0.01,0.0
yellow,-18.05,3.38,0,0.01,0.01,0.0
yellow,-15.36,1.05,0,0.01,0.01,0.0
yellow,-12.70,-0.29,0,0.01,0.01,0.0
yellow,-8.75,-1.35,0,0.01,0.01,0.0
yellow,-4.40,-1.73,0,0.01,0.01,0.0
yellow,-0.00,-1.75,0,0.01,0.01,0.0
big_orange,6.21,1.64,0,0.01,0.01,0.0
big_orange,6.12,-1.86,0,0.01,0.01,0.0
big_orange,4.21,1.69,0,0.01,0.01,0.0
big_orange,4.12,-1.81,0,0.01,0.01,0.0
car_start,0.0,0.0,0,0.01,0.01,0.0
