tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,10.07,1.47,0,0.01,0.01,0.0
blue,14.07,1.67,0,0.01,0.01,0.0
blue,17.85,2.52,0,0.01,0.01,0.0
blue,20.75,3.87,0,0.01,0.01,0.0
blue,23.57,6.19,0,0.01,0.01,0.0
blue,25.68,9.18,0,0.01,0.01,0.0
blue,27.10,12.65,0,0.01,0.01,0.0
blue,27.96,16.42,0,0.01,0.01,0.0
blue,28.42,20.92,0,0.01,0.01,0.0
blue,28.38,25.49,0,0.01,0.01,0.0
blue,27.80,29.39,0,0.01,0.01,0.0
blue,26.75,32.48,0,0.01,0.01,0.0
blue,24.76,35.45,0,0.01,0.01,0.0
blue,22.43,37.23,0,0.01,0.01,0.0
blue,19.59,38.14,0,0.01,0.01,0.0
blue,16.93,38.16,0,0.01,0.01,0.0
blue,13.00,37.03,0,0.01,0.01,0.0
blue,9.69,35.16,0,0.01,0.01,0.0
blue,6.11,32.37,0,0.01,0.01,0.0
blue,2.73,29.44,0,0.01,0.01,0.0
blue,-0.75,26.80,0,0.01,0.01,0.0
blue,-5.17,24.36,0,0.01,0.01,0.0
blue,-9.41,22.44,0,0.01,0.01,0.0
blue,-13.13,20.61,0,0.01,0.01,0.0
blue,-16.57,18.35,0,0.01,0.01,0.0
blue,-19.31,15.66,0,0.01,0.01,0.0
blue,-20.77,13.21,0,0.01,0.01,0.0
blue,-21.39,10.30,0,0.01,0.01,0.0
blue,-20.97,8.04,0,0.01,0.01,0.0
blue,-19.40,5.65,0,0.01,0.01,0.0
blue,-16.77,3.75,0,0.01,0.01,0.0
blue,-13.36,2.50,0,0.01,0.01,0.0
blue,-9.54,1.89,0,0.01,0.01,0.0
blue,-5.01,1.72,0,0.01,0.01,0.0
blue,-0.00,1.75,0,0.01,0.01,0.0
yellow,9.43,-2.02,0,0.01,0.01,0.0
yellow,13.85,-1.87,0,0.01,0.01,0.0
yellow,18.35,-1.00,0,0.01,0.01,0.0
yellow,21.43,0.24,0,0.01,0.01,0.0
yellow,24.72,2.45,0,0.01,0.01,0.0
yellow,27.38,5.33,0,0.01,0.01,0.0
yellow,29.59,9.26,0,0.01,0.01,0.0
yellow,30.79,12.84,0,0.01,0.01,0.0
yellow,31.67,17.69,0,0.01,0.01,0.0
yellow,31.96,21.98,0,0.01,0.01,0.0
yellow,31.82,26.37,0,0.01,0.01,0.0
yellow,31.04,30.84,0,0.01,0.01,0.0
yellow,29.92,33.96,0,0.01,0.01,0.0
yellow,27.75,37.35,0,0.01,0.01,0.0
yellow,25.23,39.63,0,0.01,0.01,0.0
yellow,22.14,41.14,0,0.01,0.01,0.0
yellow,17.95,41.73,0,0.01,0.01,0.0
yellow,14.36,41.22,0,0.01,0.01,0.0
yellow,10.90,39.92,0,0.01,0.01,0.0
yellow,7.13,37.64,0,0.01,0.01,0.0
yellow,3.32,34.59,0,0.01,0.01,0.0
yellow,-0.43,31.37,0,0.01,0.01,0.0
yellow,-3.61,29.13,0,0.01,0.01,0.0
yellow,-7.22,27.26,0,0.01,0.01,0.0
yellow,-12.16,25.03,0,0.01,0.01,0.0
yellow,-15.49,23.29,0,0.01,0.01,0.0
yellow,-19.35,20.61,0,0.01,0.01,0.0
yellow,-22.07,17.82,0,0.01,0.01,0.0
yellow,-24.00,14.56,0,0.01,0.01,0.0
yellow,-24.79,11.73,0,0.01,0.01,0.0
yellow,-24.65,8.15,0,0.01,0.01,0.0
yellow,-23.26,4.88,0,0.01,0.01,0.0
yellow,-20.83,2.23,0,0.01,0.01,0.0
yellow,-17.71,0.31,0,0.01,0.01,0.0
yellow,-14.20,-0.90,0,0.01,0.01,0.0
yellow,-9.86,-1.60,0,0.01,0.01,0.0
yellow,-5.01,-1.78,0,0.01,0.01,0.0
yellow,0.00,-1.75,0,0.01,0.01,0.0
big_orange,6.39,1.58,0,0.01,0.01,0.0
big_orange,6.25,-1.91,0,0.01,0.01,0.0
big_orange,4.40,1.67,0,0.01,0.01,0.0
big_orange,4.25,-1.83,0,0.01,0.01,0.0
car_start,0.0,0.0,0,0.01,0.01,0.0
