tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-60.42,-19.000000000000007,0.0,0.01,0.01,0.0
blue,-63.84,-19.380000000000006,0.0,0.01,0.01,0.0
blue,-67.00954545454546,-20.744545454545463,0.0,0.01,0.01,0.0
blue,-69.63114864864865,-22.986148648648655,0.0,0.01,0.01,0.0
blue,-71.535,-25.840000000000007,0.0,0.01,0.01,0.0
blue,-72.58,-29.11750000000001,0.0,0.01,0.01,0.0
blue,-72.675,-32.56125000000001,0.0,0.01,0.01,0.0
blue,-72.105,-35.98125000000001,0.0,0.01,0.01,0.0
blue,-72.2,-39.425000000000004,0.0,0.01,0.01,0.0
blue,-73.80427419354838,-42.45427419354839,0.0,0.01,0.01,0.0
blue,-76.57000000000001,-44.46000000000001,0.0,0.01,0.01,0.0
blue,-79.895,-45.12500000000001,0.0,0.01,0.01,0.0
blue,-83.22,-44.27000000000001,0.0,0.01,0.01,0.0
blue,-85.785,-42.06125000000001,0.0,0.01,0.01,0.0
blue,-87.229,-38.93100000000002,0.0,0.01,0.01,0.0
blue,-88.35,-35.69625000000001,0.0,0.01,0.01,0.0
blue,-90.31045454545455,-32.90454545454547,0.0,0.01,0.01,0.0
blue,-93.19500000000001,-31.065000000000012,0.0,0.01,0.01,0.0
blue,-96.55799999999999,-30.267000000000014,0.0,0.01,0.01,0.0
blue,-99.96375,-30.780000000000012,0.0,0.01,0.01,0.0
blue,-102.94267857142857,-32.357678571428586,0.0,0.01,0.01,0.0
blue,-105.26,-34.960000000000015,0.0,0.01,0.01,0.0
blue,-106.59,-38.14250000000001,0.0,0.01,0.01,0.0
blue,-107.825,-41.37250000000002,0.0,0.01,0.01,0.0
blue,-109.155,-44.555000000000014,0.0,0.01,0.01,0.0
blue,-110.39,-47.76125000000002,0.0,0.01,0.01,0.0
blue,-111.625,-50.967500000000015,0.0,0.01,0.01,0.0
blue,-112.29,-54.36375000000002,0.0,0.01,0.01,0.0
blue,-111.34,-57.68875000000001,0.0,0.01,0.01,0.0
blue,-110.19999999999999,-60.96625000000002,0.0,0.01,0.01,0.0
blue,-109.003,-64.18200000000002,0.0,0.01,0.01,0.0
blue,-107.80599999999998,-67.37400000000002,0.0,0.01,0.01,0.0
blue,-106.58999999999999,-70.63250000000002,0.0,0.01,0.01,0.0
blue,-105.35499999999999,-73.83875000000002,0.0,0.01,0.01,0.0
blue,-104.158,-77.10200000000002,0.0,0.01,0.01,0.0
blue,-102.97999999999999,-80.32250000000002,0.0,0.01,0.01,0.0
blue,-101.783,-83.56200000000001,0.0,0.01,0.01,0.0
